distPos;knowledgeScore;subject;time
0;0.5714285714285714;67;1
1;0.5714285714285714;67;1
3;0.5714285714285714;67;1
1;0.5714285714285714;67;0
3;0.5714285714285714;67;0
2;0.5714285714285714;67;1
1;0.5714285714285714;67;1
1;0.5714285714285714;67;1
0;0.5714285714285714;67;1
2;0.21428571428571427;69;5
0;0.21428571428571427;69;4
1;0.21428571428571427;69;14
3;0.21428571428571427;69;3
2;0.21428571428571427;69;8
0;0.21428571428571427;69;4
0;0.21428571428571427;69;1
1;0.21428571428571427;69;2
1;0.21428571428571427;69;1
2;0.25;72;1
1;0.25;72;1
2;0.25;72;1
1;0.25;72;4
3;0.25;72;0
2;0.25;72;3
1;0.25;72;1
3;0.25;72;0
2;0.25;72;3
2;0.7857142857142857;73;11
3;0.7857142857142857;73;6
2;0.7857142857142857;73;6
1;0.7857142857142857;73;4
2;0.7857142857142857;73;5
3;0.7857142857142857;73;7
1;0.7857142857142857;73;4
2;0.7857142857142857;73;3
0;0.7857142857142857;73;3
0;0.6071428571428571;75;5
2;0.6071428571428571;75;3
0;0.6071428571428571;75;8
2;0.6071428571428571;75;5
3;0.6071428571428571;75;5
2;0.6071428571428571;75;2
2;0.6071428571428571;75;4
1;0.6071428571428571;75;1
1;0.6071428571428571;75;0
0;0.5357142857142857;79;1
1;0.5357142857142857;79;3
2;0.5357142857142857;79;3
2;0.5357142857142857;79;3
2;0.5357142857142857;79;0
3;0.5357142857142857;79;4
2;0.5357142857142857;79;1
1;0.5357142857142857;79;5
2;0.5357142857142857;79;1
3;0.39285714285714285;80;7
1;0.39285714285714285;80;15
0;0.39285714285714285;80;1
3;0.39285714285714285;80;9
2;0.39285714285714285;80;5
3;0.39285714285714285;80;5
1;0.39285714285714285;80;4
3;0.39285714285714285;80;4
1;0.39285714285714285;80;3
1;0.5714285714285714;81;27
4;0.5714285714285714;81;26
4;0.5714285714285714;81;16
3;0.5714285714285714;81;22
2;0.5714285714285714;81;9
0;0.5714285714285714;81;10
2;0.5714285714285714;81;15
0;0.5714285714285714;81;14
1;0.5714285714285714;81;8
2;0.21428571428571427;83;8
1;0.21428571428571427;83;3
3;0.21428571428571427;83;2
0;0.21428571428571427;83;6
3;0.21428571428571427;83;2
4;0.21428571428571427;83;4
0;0.21428571428571427;83;2
2;0.21428571428571427;83;6
1;0.21428571428571427;83;2
0;0.25;85;8
2;0.25;85;2
1;0.25;85;5
0;0.25;85;1
2;0.25;85;2
1;0.25;85;4
3;0.25;85;4
2;0.25;85;5
2;0.25;85;2
1;0.32142857142857145;84;9
2;0.32142857142857145;84;1
2;0.32142857142857145;84;2
1;0.32142857142857145;84;1
3;0.32142857142857145;84;2
1;0.32142857142857145;84;1
2;0.32142857142857145;84;2
0;0.32142857142857145;84;2
2;0.32142857142857145;84;3
0;0.7142857142857143;86;4
0;0.7142857142857143;86;1
0;0.7142857142857143;86;6
0;0.7142857142857143;86;3
1;0.7142857142857143;86;3
2;0.7142857142857143;86;6
2;0.7142857142857143;86;2
2;0.7142857142857143;86;4
3;0.7142857142857143;86;3
0;0.5357142857142857;89;1
0;0.5357142857142857;89;1
2;0.5357142857142857;89;3
3;0.5357142857142857;89;4
2;0.5357142857142857;89;1
2;0.5357142857142857;89;3
1;0.5357142857142857;89;5
0;0.5357142857142857;89;3
2;0.5357142857142857;89;3
0;0.6428571428571429;95;1
2;0.6428571428571429;95;4
1;0.6428571428571429;95;3
3;0.6428571428571429;95;1
0;0.6428571428571429;95;4
0;0.6428571428571429;95;0
2;0.6428571428571429;95;2
2;0.6428571428571429;95;1
2;0.6428571428571429;95;2
3;0.39285714285714285;97;0
0;0.39285714285714285;97;1
2;0.39285714285714285;97;5
3;0.39285714285714285;97;1
3;0.39285714285714285;97;1
0;0.39285714285714285;97;1
4;0.39285714285714285;97;0
2;0.39285714285714285;97;2
1;0.39285714285714285;97;1
