50Hz;250Hz;570Hz;1000Hz;1600Hz;2500Hz;4000Hz;7000Hz;13500Hz
-72.54903;-75.4902;-73.72550000000001;-74.31373;-74.31373;-75.4902;-73.72550000000001;-71.07843999999999;-73.72550000000001
-12.94118;-31.176479999999994;-24.41177;-25.294120000000003;-23.823529999999998;-22.647060000000003;-20.882360000000002;-21.47059;0
"";-2.3529500000000008;-23.529419999999995;-14.117650000000001;-12.94118;-18.823529999999998;-15.882360000000002;-12.94118;""
-23.529419999999995;-39.70589;-43.52942;-42.05883;-29.117649999999994;-27.64706;-33.2353;-25.58824;""
"";-13.82353;-29.117649999999994;-22.352950000000003;-15.000000000000002;-15.294120000000003;-12.94118;-22.058829999999997;""
-15.294120000000003;-42.35295;-38.823530000000005;-45.588240000000006;-42.64706;-36.76471;-39.70589;-30.29412;-5.8823599999999985
-37.35294999999999;-42.94118;-48.235299999999995;-47.05883;-43.23529999999999;-41.76471;-39.11765;-20.588240000000006;""
-27.352950000000003;-46.764709999999994;-35.88236;-39.70589;-36.176480000000005;-35.88236;-35.588240000000006;-25.294120000000003;-12.05883
-3.82353;-15.588239999999999;-27.941180000000003;-23.823529999999998;-13.235299999999999;-17.05883;-12.647060000000002;-5;-2.6470599999999993
"";-28.2353;-35.88236;-32.05882999999999;-29.117649999999994;-24.70589;-21.176479999999994;-10.294120000000003;0
-3.33333;-12.94118;-19.019599999999997;-11.372539999999997;-9.0196;-10.588239999999997;-9.21569;"";""
-27.352950000000003;-37.941179999999996;-37.941179999999996;-47.05883;-38.235299999999995;-39.11765;-29.705890000000004;-35;""
-31.764709999999997;-50;-54.70589;-55.29412;-43.52942;-39.411770000000004;-40.882360000000006;-39.99999999999999;-5
-33.7255;-36.66668;-38.137269999999994;-37.549029999999995;-40.19609000000001;-41.37256;-35.19609;-30.49021;-38.431380000000004
-17.05883;-27.941180000000003;-40.58824;-42.35295;-32.05882999999999;-31.47059;-26.764709999999997;-30;""
